Lon Lat Temp Surface
-95.52 29.67 36.81 urban
-95.52 29.66 36.33 urban
-95.52 29.65 36.03 urban
-95.52 29.64 36.23 urban
-95.52 29.63 34.87 urban
-95.52 29.62 34.91 cropland
-95.52 29.61 36.01 urban
-95.52 29.6 36.21 urban
-95.52 29.59 35.85 urban
-95.52 29.58 35.31 forest
-95.52 29.57 33.57 forest
-95.52 29.56 33.63 cropland
-95.52 29.55 32.23 cropland
-95.52 29.54 33.59 cropland
-95.52 29.53 33.09 cropland
-95.52 29.52 33.03 cropland
-95.52 29.51 33.89 urban
-95.52 29.5 34.49 cropland
-95.52 29.49 33.21 cropland
-95.52 29.48 31.25 cropland
-95.52 29.47 29.11 forest
-95.53 29.75 34.69 urban
-95.53 29.74 36.49 urban
-95.53 29.73 37.59 urban
-95.53 29.72 37.23 urban
-95.53 29.71 37.19 urban
-95.53 29.7 37.27 urban
-95.53 29.69 36.95 urban
-95.53 29.68 37.03 urban
-95.53 29.67 36.55 urban
-95.53 29.66 36.39 urban
-95.53 29.65 36.21 urban
-95.53 29.64 35.71 urban
-95.53 29.63 34.77 cropland
-95.53 29.62 35.43 cropland
-95.53 29.61 35.71 forest
-95.53 29.6 35.41 urban
-95.53 29.59 35.19 urban
-95.53 29.58 35.61 urban
-95.53 29.57 34.19 cropland
-95.53 29.56 33.33 cropland
-95.53 29.55 32.77 cropland
-95.53 29.54 34.09 cropland
-95.53 29.53 34.17 cropland
-95.53 29.52 32.97 cropland
-95.53 29.51 33.41 cropland
-95.53 29.5 33.35 cropland
-95.53 29.49 31.97 cropland
-95.53 29.48 30.41 savanna
-95.53 29.47 29.27 savanna
